#1	
double TGround(8760,2)	
1965600	276.91
1969200	276.91
1972800	276.91
1976400	276.91
1980000	276.91
1983600	276.91
1987200	276.91
1990800	276.91
1994400	276.91
1998000	276.91
2001600	276.91
2005200	276.91
2008800	276.91
2012400	276.91
2016000	276.91
2019600	276.91
2023200	276.91
2026800	276.91
2030400	276.91
2034000	276.91
2037600	276.91
2041200	276.91
2044800	276.91
2048400	276.91
2052000	276.91
2055600	276.91
2059200	276.91
2062800	276.91
2066400	276.91
2070000	276.91
2073600	276.91
2077200	276.91
2080800	276.91
2084400	276.91
2088000	276.91
2091600	276.91
2095200	276.91
2098800	276.91
2102400	276.91
2106000	276.91
2109600	276.91
2113200	276.91
2116800	276.91
2120400	276.91
2124000	276.91
2127600	276.91
2131200	276.91
2134800	276.91
2138400	276.91
2142000	276.91
2145600	276.91
2149200	276.91
2152800	276.91
2156400	276.91
2160000	276.91
2163600	276.91
2167200	276.91
2170800	276.91
2174400	276.91
2178000	276.91
2181600	276.91
2185200	276.91
2188800	276.91
2192400	276.91
2196000	276.91
2199600	276.91
2203200	276.91
2206800	276.91
2210400	276.91
2214000	276.91
2217600	276.91
2221200	276.91
2224800	276.91
2228400	276.91
2232000	276.91
2235600	276.91
2239200	276.91
2242800	276.91
2246400	276.91
2250000	276.91
2253600	276.91
2257200	276.91
2260800	276.91
2264400	276.91
2268000	276.91
2271600	276.91
2275200	276.91
2278800	276.91
2282400	276.91
2286000	276.91
2289600	276.91
2293200	276.91
2296800	276.91
2300400	276.91
2304000	276.91
2307600	276.91
2311200	276.91
2314800	276.91
2318400	276.91
2322000	276.91
2325600	276.91
2329200	276.91
2332800	276.91
2336400	276.91
2340000	276.91
2343600	276.91
2347200	276.91
2350800	276.91
2354400	276.91
2358000	276.91
2361600	276.91
2365200	276.91
2368800	276.91
2372400	276.91
2376000	276.91
2379600	276.91
2383200	276.91
2386800	276.91
2390400	276.91
2394000	276.91
2397600	276.91
2401200	276.91
2404800	276.91
2408400	276.91
2412000	276.91
2415600	276.91
2419200	276.91
2422800	276.91
2426400	276.91
2430000	276.91
2433600	276.91
2437200	276.91
2440800	276.91
2444400	276.91
2448000	276.91
2451600	276.91
2455200	276.91
2458800	276.91
2462400	276.91
2466000	276.91
2469600	276.91
2473200	276.91
2476800	276.91
2480400	276.91
2484000	276.91
2487600	276.91
2491200	276.91
2494800	276.91
2498400	276.91
2502000	276.91
2505600	276.91
2509200	276.91
2512800	276.91
2516400	276.91
2520000	276.91
2523600	276.91
2527200	276.91
2530800	276.91
2534400	276.91
2538000	276.91
2541600	276.91
2545200	276.91
2548800	276.91
2552400	276.91
2556000	276.91
2559600	276.91
2563200	276.91
2566800	276.91
2570400	276.91
2574000	276.91
2577600	276.91
2581200	276.91
2584800	276.91
2588400	276.91
2592000	276.91
2595600	276.91
2599200	276.91
2602800	276.91
2606400	276.91
2610000	276.91
2613600	276.91
2617200	276.91
2620800	276.91
2624400	276.91
2628000	276.91
2631600	276.91
2635200	276.91
2638800	276.91
2642400	276.91
2646000	276.91
2649600	276.91
2653200	276.91
2656800	276.91
2660400	276.91
2664000	276.91
2667600	276.91
2671200	276.91
2674800	276.91
2678400	276.91
2682000	276.91
2685600	276.91
2689200	276.91
2692800	276.91
2696400	276.91
2700000	276.91
2703600	276.91
2707200	276.91
2710800	276.91
2714400	276.91
2718000	276.91
2721600	276.91
2725200	276.91
2728800	276.91
2732400	276.91
2736000	276.91
2739600	276.91
2743200	276.91
2746800	276.91
2750400	276.91
2754000	276.91
2757600	276.91
2761200	276.91
2764800	276.91
2768400	276.91
2772000	276.91
2775600	276.91
2779200	276.91
2782800	276.91
2786400	276.91
2790000	276.91
2793600	276.91
2797200	276.91
2800800	276.91
2804400	276.91
2808000	276.91
2811600	276.91
2815200	276.91
2818800	276.91
2822400	276.91
2826000	276.91
2829600	276.91
2833200	276.91
2836800	276.91
2840400	276.91
2844000	276.91
2847600	276.91
2851200	276.91
2854800	276.91
2858400	276.91
2862000	276.91
2865600	276.91
2869200	276.91
2872800	276.91
2876400	276.91
2880000	276.91
2883600	276.91
2887200	276.91
2890800	276.91
2894400	276.91
2898000	276.91
2901600	276.91
2905200	276.91
2908800	276.91
2912400	276.91
2916000	276.91
2919600	276.91
2923200	276.91
2926800	276.91
2930400	276.91
2934000	276.91
2937600	276.91
2941200	276.91
2944800	276.91
2948400	276.91
2952000	276.91
2955600	276.91
2959200	276.91
2962800	276.91
2966400	276.91
2970000	276.91
2973600	276.91
2977200	276.91
2980800	276.91
2984400	276.91
2988000	276.91
2991600	276.91
2995200	276.91
2998800	277.01
3002400	277.06
3006000	277.08
3009600	277.08
3013200	277.08
3016800	277.09
3020400	277.09
3024000	277.09
3027600	277.09
3031200	277.09
3034800	277.09
3038400	277.1
3042000	277.1
3045600	277.1
3049200	277.11
3052800	277.11
3056400	277.12
3060000	277.13
3063600	277.13
3067200	277.13
3070800	277.14
3074400	277.15
3078000	277.15
3081600	277.15
3085200	277.16
3088800	277.2
3092400	277.22
3096000	277.24
3099600	277.25
3103200	277.26
3106800	277.27
3110400	277.29
3114000	277.31
3117600	277.33
3121200	277.35
3124800	277.37
3128400	277.38
3132000	277.41
3135600	277.43
3139200	277.45
3142800	277.48
3146400	277.5
3150000	277.52
3153600	277.55
3157200	277.58
3160800	277.6
3164400	277.63
3168000	277.65
3171600	277.67
3175200	277.69
3178800	277.73
3182400	277.75
3186000	277.77
3189600	277.8
3193200	277.83
3196800	277.85
3200400	277.88
3204000	277.92
3207600	277.95
3211200	277.98
3214800	278.02
3218400	278.05
3222000	278.08
3225600	278.12
3229200	278.15
3232800	278.2
3236400	278.24
3240000	278.28
3243600	278.32
3247200	278.37
3250800	278.4
3254400	278.44
3258000	278.48
3261600	278.53
3265200	278.57
3268800	278.61
3272400	278.66
3276000	278.71
3279600	278.75
3283200	278.79
3286800	278.84
3290400	278.89
3294000	278.94
3297600	278.98
3301200	279.02
3304800	279.07
3308400	279.12
3312000	279.16
3315600	279.21
3319200	279.26
3322800	279.3
3326400	279.35
3330000	279.39
3333600	279.42
3337200	279.44
3340800	279.47
3344400	279.5
3348000	279.52
3351600	279.55
3355200	279.58
3358800	279.6
3362400	279.63
3366000	279.66
3369600	279.68
3373200	279.71
3376800	279.74
3380400	279.76
3384000	279.79
3387600	279.82
3391200	279.84
3394800	279.87
3398400	279.9
3402000	279.92
3405600	279.95
3409200	279.98
3412800	280
3416400	280.03
3420000	280.06
3423600	280.08
3427200	280.11
3430800	280.14
3434400	280.16
3438000	280.19
3441600	280.22
3445200	280.24
3448800	280.27
3452400	280.3
3456000	280.32
3459600	280.35
3463200	280.38
3466800	280.4
3470400	280.43
3474000	280.46
3477600	280.48
3481200	280.51
3484800	280.54
3488400	280.56
3492000	280.59
3495600	280.62
3499200	280.64
3502800	280.67
3506400	280.69
3510000	280.72
3513600	280.75
3517200	280.77
3520800	280.8
3524400	280.83
3528000	280.85
3531600	280.88
3535200	280.91
3538800	280.93
3542400	280.96
3546000	280.99
3549600	281.01
3553200	281.04
3556800	281.07
3560400	281.09
3564000	281.12
3567600	281.15
3571200	281.17
3574800	281.2
3578400	281.23
3582000	281.25
3585600	281.28
3589200	281.31
3592800	281.33
3596400	281.36
3600000	281.39
3603600	281.41
3607200	281.44
3610800	281.47
3614400	281.49
3618000	281.52
3621600	281.55
3625200	281.57
3628800	281.6
3632400	281.63
3636000	281.65
3639600	281.68
3643200	281.71
3646800	281.73
3650400	281.76
3654000	281.79
3657600	281.81
3661200	281.84
3664800	281.87
3668400	281.89
3672000	281.92
3675600	281.93
3679200	281.94
3682800	281.95
3686400	281.95
3690000	281.96
3693600	281.96
3697200	281.97
3700800	281.97
3704400	281.98
3708000	281.99
3711600	281.99
3715200	282
3718800	282
3722400	282.01
3726000	282.01
3729600	282.02
3733200	282.02
3736800	282.03
3740400	282.03
3744000	282.04
3747600	282.04
3751200	282.05
3754800	282.05
3758400	282.06
3762000	282.06
3765600	282.07
3769200	282.07
3772800	282.07
3776400	282.07
3780000	282.07
3783600	282.08
3787200	282.07
3790800	282.07
3794400	282.08
3798000	282.08
3801600	282.08
3805200	282.08
3808800	282.08
3812400	282.08
3816000	282.08
3819600	282.08
3823200	282.08
3826800	282.09
3830400	282.09
3834000	282.1
3837600	282.09
3841200	282.09
3844800	282.1
3848400	282.1
3852000	282.1
3855600	282.1
3859200	282.1
3862800	282.1
3866400	282.1
3870000	282.1
3873600	282.1
3877200	282.1
3880800	282.1
3884400	282.1
3888000	282.1
3891600	282.1
3895200	282.1
3898800	282.11
3902400	282.1
3906000	282.11
3909600	282.11
3913200	282.11
3916800	282.12
3920400	282.12
3924000	282.12
3927600	282.13
3931200	282.13
3934800	282.13
3938400	282.14
3942000	282.14
3945600	282.15
3949200	282.14
3952800	282.15
3956400	282.15
3960000	282.16
3963600	282.16
3967200	282.17
3970800	282.17
3974400	282.18
3978000	282.18
3981600	282.19
3985200	282.2
3988800	282.2
3992400	282.21
3996000	282.23
3999600	282.24
4003200	282.24
4006800	282.26
4010400	282.26
4014000	282.27
4017600	282.28
4021200	282.29
4024800	282.3
4028400	282.3
4032000	282.32
4035600	282.32
4039200	282.33
4042800	282.34
4046400	282.35
4050000	282.36
4053600	282.37
4057200	282.37
4060800	282.39
4064400	282.39
4068000	282.4
4071600	282.41
4075200	282.42
4078800	282.43
4082400	282.44
4086000	282.45
4089600	282.46
4093200	282.47
4096800	282.48
4100400	282.49
4104000	282.5
4107600	282.51
4111200	282.51
4114800	282.52
4118400	282.52
4122000	282.53
4125600	282.53
4129200	282.54
4132800	282.54
4136400	282.54
4140000	282.54
4143600	282.54
4147200	282.55
4150800	282.55
4154400	282.55
4158000	282.56
4161600	282.56
4165200	282.57
4168800	282.57
4172400	282.57
4176000	282.58
4179600	282.59
4183200	282.59
4186800	282.59
4190400	282.59
4194000	282.59
4197600	282.6
4201200	282.6
4204800	282.6
4208400	282.59
4212000	282.59
4215600	282.59
4219200	282.59
4222800	282.59
4226400	282.58
4230000	282.58
4233600	282.58
4237200	282.58
4240800	282.58
4244400	282.57
4248000	282.58
4251600	282.57
4255200	282.58
4258800	282.58
4262400	282.57
4266000	282.57
4269600	282.58
4273200	282.58
4276800	282.58
4280400	282.58
4284000	282.58
4287600	282.58
4291200	282.58
4294800	282.58
4298400	282.58
4302000	282.58
4305600	282.58
4309200	282.58
4312800	282.58
4316400	282.58
4320000	282.57
4323600	282.57
4327200	282.57
4330800	282.58
4334400	282.58
4338000	282.58
4341600	282.58
4345200	282.57
4348800	282.57
4352400	282.57
4356000	282.57
4359600	282.56
4363200	282.56
4366800	282.55
4370400	282.55
4374000	282.54
4377600	282.53
4381200	282.52
4384800	282.51
4388400	282.5
4392000	282.49
4395600	282.49
4399200	282.48
4402800	282.47
4406400	282.46
4410000	282.45
4413600	282.45
4417200	282.44
4420800	282.44
4424400	282.43
4428000	282.42
4431600	282.43
4435200	282.41
4438800	282.4
4442400	282.4
4446000	282.4
4449600	282.39
4453200	282.38
4456800	282.39
4460400	282.38
4464000	282.37
4467600	282.36
4471200	282.36
4474800	282.35
4478400	282.34
4482000	282.34
4485600	282.33
4489200	282.32
4492800	282.32
4496400	282.32
4500000	282.31
4503600	282.31
4507200	282.32
4510800	282.31
4514400	282.31
4518000	282.31
4521600	282.31
4525200	282.32
4528800	282.32
4532400	282.32
4536000	282.33
4539600	282.33
4543200	282.33
4546800	282.33
4550400	282.33
4554000	282.34
4557600	282.35
4561200	282.35
4564800	282.35
4568400	282.36
4572000	282.36
4575600	282.36
4579200	282.37
4582800	282.37
4586400	282.38
4590000	282.38
4593600	282.39
4597200	282.39
4600800	282.4
4604400	282.4
4608000	282.4
4611600	282.4
4615200	282.41
4618800	282.41
4622400	282.41
4626000	282.41
4629600	282.41
4633200	282.41
4636800	282.4
4640400	282.4
4644000	282.39
4647600	282.38
4651200	282.38
4654800	282.37
4658400	282.36
4662000	282.36
4665600	282.35
4669200	282.34
4672800	282.33
4676400	282.33
4680000	282.32
4683600	282.3
4687200	282.3
4690800	282.29
4694400	282.28
4698000	282.28
4701600	282.26
4705200	282.26
4708800	282.24
4712400	282.23
4716000	282.22
4719600	282.21
4723200	282.2
4726800	282.18
4730400	282.16
4734000	282.15
4737600	282.14
4741200	282.12
4744800	282.11
4748400	282.09
4752000	282.08
4755600	282.06
4759200	282.05
4762800	282.04
4766400	282.03
4770000	282.02
4773600	282.01
4777200	282
4780800	281.99
4784400	281.98
4788000	281.97
4791600	281.97
4795200	281.96
4798800	281.95
4802400	281.94
4806000	281.93
4809600	281.92
4813200	281.91
4816800	281.9
4820400	281.89
4824000	281.88
4827600	281.87
4831200	281.86
4834800	281.85
4838400	281.84
4842000	281.84
4845600	281.83
4849200	281.82
4852800	281.82
4856400	281.82
4860000	281.81
4863600	281.81
4867200	281.8
4870800	281.8
4874400	281.8
4878000	281.79
4881600	281.79
4885200	281.79
4888800	281.79
4892400	281.78
4896000	281.78
4899600	281.77
4903200	281.77
4906800	281.76
4910400	281.76
4914000	281.75
4917600	281.75
4921200	281.74
4924800	281.75
4928400	281.74
4932000	281.74
4935600	281.74
4939200	281.74
4942800	281.74
4946400	281.74
4950000	281.73
4953600	281.74
4957200	281.74
4960800	281.74
4964400	281.74
4968000	281.74
4971600	281.74
4975200	281.74
4978800	281.74
4982400	281.74
4986000	281.74
4989600	281.74
4993200	281.74
4996800	281.74
5000400	281.74
5004000	281.74
5007600	281.74
5011200	281.74
5014800	281.74
5018400	281.74
5022000	281.74
5025600	281.74
5029200	281.74
5032800	281.74
5036400	281.74
5040000	281.74
5043600	281.74
5047200	281.74
5050800	281.74
5054400	281.74
5058000	281.74
5061600	281.74
5065200	281.74
5068800	281.74
5072400	281.74
5076000	281.74
5079600	281.74
5083200	281.74
5086800	281.74
5090400	281.74
5094000	281.74
5097600	281.74
5101200	281.74
5104800	281.74
5108400	281.74
5112000	281.74
5115600	281.74
5119200	281.74
5122800	281.74
5126400	281.74
5130000	281.74
5133600	281.74
5137200	281.74
5140800	281.74
5144400	281.74
5148000	281.74
5151600	281.74
5155200	281.74
5158800	281.74
5162400	281.74
5166000	281.74
5169600	281.74
5173200	281.74
5176800	281.74
5180400	281.74
5184000	281.74
5187600	281.74
5191200	281.74
5194800	281.74
5198400	281.74
5202000	281.74
5205600	281.74
5209200	281.74
5212800	281.74
5216400	281.74
5220000	281.74
5223600	281.74
5227200	281.74
5230800	281.74
5234400	281.74
5238000	281.74
5241600	281.74
5245200	281.74
5248800	281.74
5252400	281.74
5256000	281.74
5259600	281.74
5263200	281.74
5266800	281.74
5270400	281.74
5274000	281.74
5277600	281.74
5281200	281.74
5284800	281.74
5288400	281.74
5292000	281.74
5295600	281.74
5299200	281.74
5302800	281.74
5306400	281.74
5310000	281.74
5313600	281.74
5317200	281.74
5320800	281.74
5324400	281.74
5328000	281.74
5331600	281.74
5335200	281.74
5338800	281.74
5342400	281.74
5346000	281.74
5349600	281.74
5353200	281.74
5356800	281.74
5360400	281.74
5364000	281.74
5367600	281.74
5371200	281.74
5374800	281.74
5378400	281.74
5382000	281.74
5385600	281.74
5389200	281.74
5392800	281.74
5396400	281.74
5400000	281.74
5403600	281.74
5407200	281.74
5410800	281.74
5414400	281.74
5418000	281.74
5421600	281.74
5425200	281.74
5428800	281.74
5432400	281.74
5436000	281.74
5439600	281.74
5443200	281.74
5446800	281.74
5450400	281.74
5454000	281.74
5457600	281.74
5461200	281.74
5464800	281.74
5468400	281.74
5472000	281.74
5475600	281.74
5479200	281.74
5482800	281.74
5486400	281.74
5490000	281.74
5493600	281.74
5497200	281.74
5500800	281.74
5504400	281.74
5508000	281.74
5511600	281.74
5515200	281.74
5518800	281.74
5522400	281.74
5526000	281.74
5529600	281.74
5533200	281.74
5536800	281.74
5540400	281.74
5544000	281.74
5547600	281.74
5551200	281.74
5554800	281.74
5558400	281.74
5562000	281.74
5565600	281.74
5569200	281.74
5572800	281.74
5576400	281.74
5580000	281.74
5583600	281.74
5587200	281.74
5590800	281.74
5594400	281.74
5598000	281.74
5601600	281.74
5605200	281.74
5608800	281.74
5612400	281.74
5616000	281.74
5619600	281.74
5623200	281.74
5626800	281.74
5630400	281.74
5634000	281.74
5637600	281.74
5641200	281.74
5644800	281.74
5648400	281.74
5652000	281.74
5655600	281.74
5659200	281.74
5662800	281.74
5666400	281.74
5670000	281.74
5673600	281.74
5677200	281.74
5680800	281.74
5684400	281.74
5688000	281.74
5691600	281.74
5695200	281.74
5698800	281.74
5702400	281.74
5706000	281.74
5709600	281.74
5713200	281.74
5716800	281.74
5720400	281.74
5724000	281.74
5727600	281.74
5731200	281.74
5734800	281.74
5738400	281.74
5742000	281.74
5745600	281.74
5749200	281.74
5752800	281.74
5756400	281.74
5760000	281.74
5763600	281.74
5767200	281.74
5770800	281.74
5774400	281.74
5778000	281.74
5781600	281.74
5785200	281.74
5788800	281.74
5792400	281.74
5796000	281.74
5799600	281.74
5803200	281.74
5806800	281.74
5810400	281.74
5814000	281.74
5817600	281.74
5821200	281.74
5824800	281.74
5828400	281.74
5832000	281.74
5835600	281.74
5839200	281.74
5842800	281.74
5846400	281.74
5850000	281.74
5853600	281.74
5857200	281.74
5860800	281.74
5864400	281.74
5868000	281.74
5871600	281.74
5875200	281.74
5878800	281.74
5882400	281.74
5886000	281.74
5889600	281.74
5893200	281.74
5896800	281.74
5900400	281.74
5904000	281.74
5907600	281.74
5911200	281.74
5914800	281.74
5918400	281.74
5922000	281.74
5925600	281.74
5929200	281.74
5932800	281.74
5936400	281.74
5940000	281.74
5943600	281.74
5947200	281.74
5950800	281.74
5954400	281.74
5958000	281.74
5961600	281.74
5965200	281.74
5968800	281.74
5972400	281.74
5976000	281.74
5979600	281.74
5983200	281.74
5986800	281.74
5990400	281.74
5994000	281.74
5997600	281.74
6001200	281.74
6004800	281.74
6008400	281.74
6012000	281.74
6015600	281.74
6019200	281.74
6022800	281.74
6026400	281.74
6030000	281.74
6033600	281.74
6037200	281.74
6040800	281.74
6044400	281.74
6048000	281.74
6051600	281.74
6055200	281.74
6058800	281.74
6062400	281.74
6066000	281.74
6069600	281.74
6073200	281.74
6076800	281.74
6080400	281.74
6084000	281.74
6087600	281.74
6091200	281.74
6094800	281.74
6098400	281.74
6102000	281.74
6105600	281.74
6109200	281.74
6112800	281.74
6116400	281.74
6120000	281.74
6123600	281.74
6127200	281.74
6130800	281.74
6134400	281.74
6138000	281.74
6141600	281.74
6145200	281.74
6148800	281.74
6152400	281.74
6156000	281.74
6159600	281.74
6163200	281.74
6166800	281.74
6170400	281.74
6174000	281.74
6177600	281.74
6181200	281.74
6184800	281.74
6188400	281.74
6192000	281.74
6195600	281.74
6199200	281.74
6202800	281.74
6206400	281.74
6210000	281.74
6213600	281.74
6217200	281.74
6220800	281.74
6224400	281.74
6228000	281.74
6231600	281.74
6235200	281.74
6238800	281.74
6242400	281.74
6246000	281.74
6249600	281.74
6253200	281.74
6256800	281.74
6260400	281.74
6264000	281.74
6267600	281.74
6271200	281.74
6274800	281.74
6278400	281.74
6282000	281.74
6285600	281.74
6289200	281.74
6292800	281.74
6296400	281.74
6300000	281.74
6303600	281.74
6307200	281.74
6310800	281.74
6314400	281.74
6318000	281.74
6321600	281.74
6325200	281.74
6328800	281.74
6332400	281.74
6336000	281.74
6339600	281.74
6343200	281.74
6346800	281.74
6350400	281.74
6354000	281.74
6357600	281.74
6361200	281.74
6364800	281.74
6368400	281.74
6372000	281.74
6375600	281.74
6379200	281.74
6382800	281.74
6386400	281.74
6390000	281.74
6393600	281.74
6397200	281.74
6400800	281.74
6404400	281.74
6408000	281.74
6411600	281.74
