#1
double measurement(731, 2)
#Time	Hall1
29980800	293.9638046
30024000	293.4840799
30067200	294.297462
30110400	294.0618248
30153600	294.8310933
30196800	294.6476815
30240000	295.401223
30283200	295.0516733
30326400	295.669791
30369600	295.1319128
30412800	295.5998538
30456000	295.0595021
30499200	295.3721365
30542400	295.3148495
30585600	295.5795113
30628800	294.441182
30672000	293.6871166
30715200	292.3891477
30758400	291.8577163
30801600	291.0549793
30844800	291.76087
30888000	291.181182
30931200	291.7047653
30974400	291.2384166
31017600	292.4342655
31060800	293.1066833
31104000	293.7409906
31147200	293.7663537
31190400	293.7402775
31233600	293.130827
31276800	293.0772387
31320000	292.4656252
31363200	292.2551326
31406400	291.6629701
31449600	291.8280604
31492800	291.6595415
31536000	291.6595415
