#1
double measurement(731, 2)
#Time	Qflow
16934400	-2785.054018
16977600	-3882.70649
17020800	-4173.068097
17064000	-5463.076866
17107200	-5194.210103
17150400	-5955.24001
17193600	-4858.026711
17236800	-5616.841724
17280000	-3736.622352
17323200	-4360.538082
17366400	-2378.028186
17409600	-5109.724415
17452800	-2778.729752
17496000	-4452.156982
17539200	-4138.964464
17582400	-6882.637221
17625600	-6266.347365
17668800	-7235.758138
17712000	-5291.337738
17755200	-7308.956163
17798400	-4596.943903
17841600	-6595.32208
17884800	-3385.010872
17928000	-4698.343661
17971200	-2791.627897
18014400	-4507.508012
18057600	-1583.126277
18100800	-3494.810696
18144000	-3960.731084
18187200	-4488.919059
18230400	-4827.663257
18273600	-7934.075724
18316800	-6859.218986
18360000	-7803.583373
18403200	-5453.090892
18446400	-7188.525095
18489600	-5905.255154
18532800	-6275.999659
18576000	-2473.668767
18619200	-4210.297982
18662400	-1165.814614
18705600	-4093.797443
18748800	-3332.860447
18792000	-5987.39047
18835200	-4502.033237
18878400	-5417.575944
18921600	-2066.253098
18964800	-4725.602395
19008000	-3832.295778
19051200	-6118.63454
19094400	-4893.997505
19137600	-4965.64962
19180800	-1848.1244
19224000	-4106.087423
19267200	-1124.611426
19310400	-3507.49206
19353600	-1150.133743
19396800	-3351.881331
19440000	-1012.317393
19483200	-2976.578182
19526400	-2516.252285
19569600	-3012.865013
19612800	-43.40240649
19656000	-1983.445826
19699200	379.5616092
19742400	-364.8693539
19785600	471.3648481
19828800	-67.74128023
19872000	478.6944028
19915200	-223.7013737
19958400	482.1576522
20001600	-588.3992522
20044800	294.8038826
20088000	-1548.071923
20131200	-343.2755285
20174400	-2601.398589
20217600	-114.3420117
20260800	-1984.703439
20304000	166.4622377
20347200	-1660.565805
20390400	403.5606304
20433600	-609.1134867
20476800	432.9627919
20520000	-340.8601576
20563200	386.7158797
20606400	29.40882284
20649600	457.6866475
20692800	-850.0937596
20736000	454.8063257
20779200	-718.0986604
20822400	-841.2052992
20865600	-2706.184934
20908800	18.36125914
20952000	-1118.868968
20995200	473.7911087
21038400	-432.0557455
21081600	479.657103
21124800	-131.7911953
21168000	-788.3586703
21211200	-2816.351062
21254400	-1702.66668
21297600	-3094.659779
21340800	-1215.458378
21384000	-1144.619803
21427200	-507.7968242
21470400	-3073.687371
21513600	-1118.633124
21556800	-2540.629743
21600000	-2136.157707
21643200	-3291.00316
21686400	-1713.235563
21729600	-3603.306191
21772800	-1994.024135
21816000	-3504.606601
21859200	-1980.279304
21902400	-3223.869802
21945600	-3536.749776
21988800	-4286.85056
22032000	-1320.694961
22075200	-2702.523678
22118400	428.4061536
22161600	111.5141755
22204800	504.9860306
22248000	499.6757879
22291200	517.7438341
22334400	-701.424292
22377600	346.9836448
22420800	-678.9278245
22464000	508.1927634
22507200	-759.1897107
22550400	-731.6373063
22593600	-3312.716105
22636800	-1885.145656
22680000	-2618.059683
22723200	118.9314931
22766400	388.43957
22809600	192.3875508
22852800	-2061.166203
22896000	-294.5353539
22939200	-2458.528537
22982400	-1530.786082
23025600	-3667.233401
23068800	-637.6503116
23112000	-2757.248801
23155200	-1519.874838
23198400	-3470.71413
23241600	-2057.430478
23284800	-4079.741348
23328000	-2997.74688
23371200	-4561.12815
23414400	-1508.322414
23457600	-2503.285395
23500800	-2306.446128
23544000	-2745.601217
23587200	-2649.425849
23630400	-4568.457335
23673600	-3606.048147
23716800	-4717.497115
23760000	-2392.397614
23803200	-3425.021209
23846400	-3215.411826
23889600	-3409.382655
23932800	-1660.646228
23976000	-2460.125696
24019200	-2170.963079
24062400	-3466.350664
24105600	-2939.493951
24148800	-4018.012917
24192000	-3637.845281
24235200	-4032.05908
24278400	-3738.536048
24321600	-4310.232124
24364800	-2189.598028
24408000	-3734.470881
24451200	-3609.672003
24494400	-5177.294587
24537600	-3444.306963
24580800	-4323.453839
24624000	-3361.542485
24667200	-4774.799018
24710400	-5301.741845
24753600	-5868.029476
24796800	-3599.964396
24840000	-4826.234793
24883200	-3891.429252
24926400	-4376.972774
24969600	-2138.232368
25012800	-4305.591535
25056000	-878.8068846
25099200	-2080.517901
25142400	141.6801004
25185600	-932.2893215
25228800	-914.9592624
25272000	-2625.314617
25315200	-509.9780639
25358400	-2980.222708
25401600	-172.4075054
25444800	-733.1502458
25488000	66.74833242
25531200	-2334.010942
25574400	-1590.96381
25617600	-2729.127529
25660800	-2527.958085
25704000	-3247.547326
25747200	-259.4736398
25790400	151.8912129
25833600	135.0305229
25876800	-1560.657962
25920000	113.6069203
25963200	-1076.391966
26006400	94.41245181
26049600	-1762.831867
26092800	3335.122155
26136000	884.7800376
26179200	3144.74738
26222400	242.4099115
26265600	-1054.347153
26308800	-2777.084611
26352000	-1673.907468
26395200	-3480.022873
26438400	-1863.919653
26481600	-3540.616636
26524800	-2811.638922
26568000	-4911.80655
26611200	-4282.275134
26654400	-5576.793527
26697600	-4000.33613
26740800	-4833.87823
26784000	-4557.318184
26827200	-5635.14682
26870400	-3924.427792
26913600	-4813.486572
26956800	-3534.226904
27000000	-3712.283784
27043200	-564.7992908
27086400	-3395.01953
27129600	-1458.652321
27172800	-3989.837973
27216000	-464.9670857
27259200	-1823.65462
27302400	136.4802965
27345600	-740.2460415
27388800	195.1084254
27432000	-1271.727681
27475200	211.069516
27518400	-754.2489072
27561600	227.6605018
27604800	-442.1357227
27648000	223.7025063
27691200	-164.8796928
27734400	229.0305197
27777600	180.1271471
27820800	225.3175459
27864000	-1248.868716
27907200	-594.0194937
27950400	-3018.540933
27993600	-3083.916749
28036800	-5132.945368
28080000	-3163.157471
28123200	-5217.000253
28166400	-1407.783007
28209600	-3541.669788
28252800	-74.42722958
28296000	-1754.771675
28339200	151.8186459
28382400	-1574.29414
28425600	-944.6675673
28468800	-4098.869889
28512000	-2977.457953
28555200	-3360.870326
28598400	-1720.400573
28641600	-2432.647533
28684800	-3287.911215
28728000	-5666.925017
28771200	-5017.607752
28814400	-6750.748286
28857600	-4771.294908
28900800	-6290.397042
28944000	-3197.802862
28987200	-5953.863358
29030400	-2091.195668
29073600	-4700.783385
29116800	-1267.219026
29160000	-4085.799568
29203200	-1048.81405
29246400	-2065.357839
29289600	-2285.868075
29332800	-2664.238332
29376000	-2630.232794
29419200	-5372.08063
29462400	-3564.950639
29505600	-4687.922919
29548800	-797.3781933
29592000	-1889.868314
29635200	187.1933551
29678400	-1546.544085
29721600	-3884.516663
29764800	-6331.156084
29808000	-5087.782985
29851200	-6088.940988
29894400	-5438.24126
29937600	-5832.898294
29980800	-3659.705444
30024000	-5064.262481
30067200	-2427.952168
30110400	-3309.655017
30153600	-1810.962274
30196800	-3169.78923
30240000	-2682.107513
30283200	-4465.71476
30326400	-1825.639214
30369600	-2467.08503
30412800	-1062.531466
30456000	-3018.206636
30499200	-3875.759025
30542400	-3216.366673
30585600	-1338.640557
30628800	-4054.829803
30672000	-6563.379876
30715200	-9033.908556
30758400	-8678.727327
30801600	-10739.31086
30844800	-9449.108406
30888000	-9936.619194
30931200	-8143.043596
30974400	-9026.35967
31017600	-5664.955539
31060800	-4879.056733
31104000	-4057.822699
31147200	-5010.334603
31190400	-5543.778011
31233600	-5833.219732
31276800	-5024.692442
31320000	-6254.367467
31363200	-6170.50045
31406400	-7429.747846
31449600	-7189.365966
31492800	-6685.903964
31536000	-6685.903964
