Time;PumpSpeed;PumpVolFlow;MixValve;ThrotValve;TempSup;Temp Ret;cp;mflow kg/s;deltaT;Qflow W
8812800;2546.663531;0.00024387;0.216295503;0.655143067;321.1044139;311.5109984;4.18;0.24386959;9.593415455;-9779.286778
8856000;2546.672938;0.000242121;0.201992819;0.655132495;322.7137482;312.3446455;4.18;0.242120916;10.36910268;-10494.21035
8899200;2546.485177;0.000245421;0.210375318;0.655113173;322.6510846;312.7309109;4.18;0.24542058;9.920173706;-10176.68978
8942400;2546.696816;0.000241719;0.173145705;0.655143455;322.9534732;312.6664978;4.18;0.241718922;10.28697547;-10393.80668
8985600;2546.780753;0.000240071;0.176539264;0.655160926;324.1508684;313.1803184;4.18;0.240070748;10.97055001;-11008.90005
9028800;2546.65123;0.00024186;0.212654262;0.655133599;328.0589725;315.3430534;4.18;0.24185962;12.71591906;-12855.45354
9072000;2546.470716;0.000246967;0.230517536;0.655129801;327.995047;315.5646782;4.18;0.246967137;12.43036883;-12832.15107
9115200;2546.567294;0.000245096;0.189708728;0.655151706;330.598191;316.6123734;4.18;0.24509567;13.98581759;-14328.46871
9158400;2546.479016;0.00024789;0.187460727;0.655152286;328.7069465;315.8178005;4.18;0.247889526;12.88914601;-13355.45236
9201600;2546.429088;0.000249437;0.198103923;0.655183505;332.7478292;317.680246;4.18;0.249437202;15.06758317;-15710.17801
9244800;2546.530747;0.000246299;0.192508255;0.655184417;328.2299414;315.5629576;4.18;0.246299002;12.66698379;-13041.03767
9288000;2545.735166;0.000260412;0.254834057;0.655192669;331.8751085;317.5250361;4.18;0.260411636;14.35007237;-15620.34995
9331200;2546.523155;0.000245779;0.183037681;0.655105996;327.8934877;315.8866138;4.18;0.245779059;12.00687391;-12335.33956
9374400;2546.51809;0.000247126;0.183497715;0.655141217;327.8325615;315.3984081;4.18;0.247125738;12.4341534;-12844.30123
9417600;2546.723066;0.000239295;0.214701029;0.655124092;324.4117498;313.6515184;4.18;0.239294608;10.76023143;-10762.93722
