Time;PumpSpeed;PumpVolFlow;MixValve;ThrotValve;TempSup;TempRet;Hall2Offset;Hall2Radiation;cp;mflow;deltaT;Qflow
896400;2547.395652;0.000194807;0.221289072;0.655289292;319.6483333;308.8057969;13.06535948;298.35;4.18;0.19480676;10.84253645;-8828.993474
907200;2547.432081;0.000195067;0.203302569;0.655260875;319.2409682;309.1959538;13.67173913;299.4247826;4.18;0.195066631;10.04501438;-8190.488952
918000;2547.389009;0.000194565;0.20216881;0.655265678;318.7719248;308.8913595;13.39927536;298.7552899;4.18;0.194564952;9.880565328;-8035.68099
928800;2547.456978;0.000194304;0.212481026;0.655279824;318.2875995;308.4594723;13.26361656;298.5423021;4.18;0.194303845;9.828127209;-7982.307349
939600;2547.373468;0.000194344;0.216822847;0.655300452;318.5672439;308.3367962;13.2973169;298.3704496;4.18;0.194344305;10.23044766;-8310.798221
950400;2547.417511;0.000194364;0.225817928;0.655300293;319.9870477;308.7709842;13.01527273;298.2392364;4.18;0.194364042;11.21606351;-9112.397675
961200;2547.342939;0.000194484;0.232910169;0.655288824;321.3579971;309.4809079;12.81277213;298.1734398;4.18;0.194484467;11.87708919;-9655.421119
972000;2547.353324;0.000194485;0.247822407;0.655285433;322.5047688;310.1806357;13.11521739;298.3942029;4.18;0.194484582;12.32413305;-10018.84918
982800;2547.472122;0.000194525;0.236710548;0.655246916;322.4094928;310.7963766;12.75382374;299.3181719;4.18;0.194524898;11.61311615;-9442.788188
993600;2547.414986;0.000194344;0.228258532;0.655231143;321.1276496;310.4677953;13.62481858;299.6171263;4.18;0.194344377;10.65985428;-8659.633858
1004400;2547.38684;0.000194444;0.220893926;0.65524176;319.7354664;309.601482;13.7933285;299.328913;4.18;0.194444441;10.1339843;-8236.6771
1015200;2547.356214;0.000194725;0.214050561;0.655278956;318.663078;308.7824421;13.87755102;298.9572833;4.18;0.19472543;9.880635873;-8042.366282
1026000;2547.352347;0.000195507;0.215987244;0.655299793;318.5154873;308.3857396;13.53623188;298.7018841;4.18;0.195507418;10.12974769;-8278.2426
1036800;2547.395954;0.000196351;0.222672734;0.655314291;319.4063583;308.6992052;13.82643428;298.6043936;4.18;0.196351153;10.7071531;-8787.87257
1047600;2547.445487;0.000195347;0.226455507;0.655321292;320.1721098;309.1390254;13.76995646;298.6346154;4.18;0.195346968;11.03308442;-9009.068705
1058400;2547.323933;0.000195147;0.226687554;0.655308711;320.3497828;309.341389;14.02101449;298.7638406;4.18;0.195147422;11.00839385;-8979.725464
1069200;2547.331647;0.000195067;0.222830507;0.655289726;319.7664859;309.4150287;14.35875091;299.2420116;4.18;0.195066631;10.35145722;-8440.355858
1080000;2547.381674;0.000195306;0.213868541;0.65525881;318.7924964;309.0356423;14.54281567;299.3870827;4.18;0.195306234;9.756854015;-7965.301042
1090800;2547.407542;0.000195834;0.211454413;0.655280046;318.2740754;308.5178027;14.14785142;299.0871449;4.18;0.195834338;9.756272718;-7986.363194
1101600;2547.310694;0.00019595;0.217230796;0.655292154;318.2603398;308.3505054;14.31227306;298.8757081;4.18;0.19594974;9.909834443;-8116.847243
1112400;2547.322022;0.000195527;0.220467885;0.655293513;318.2411191;308.3157757;13.72008702;298.85;4.18;0.195527474;9.925343392;-8112.031201
1123200;2547.464646;0.000194825;0.219132013;0.655304416;318.5800144;308.4904762;13.97672727;298.85;4.18;0.194825233;10.08953822;-8216.611946
1134000;2547.37518;0.000194986;0.214289788;0.655300674;318.3522383;308.4557761;13.95431472;298.85;4.18;0.194985567;9.896462189;-8066.009271
1144800;2547.394642;0.000194404;0.21402036;0.65529963;317.466365;308.0885954;14.28882438;298.8921626;4.18;0.194404213;9.377769595;-7620.465682
